id_transferencia|valor_transferencia|tipo_transferencia|nome_emissor|agencia_emissor|conta_emissor|cpf_emissor|nome_receptor|agencia_receptor|conta_receptor|cpf_receptor

1|500|PIX|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
2|500|PIX|Joao|001|1234|123.123.123-12|Joao|001|1234|123.123.123-12
3|1500,32|PIX|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
4|5000|PIX|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
5|5000,01|PIX|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
6|5000|TED|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
7|7500,09|TED|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
8|10000|TED|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
9|10000,01|TED|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
10|10000|DOC|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
11|13000|DOC|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
12|9999999,99|DOC|Joao|001|1234|123.123.123-12|Maria|002|1335|112.113.114-15
